early or threatened labor	may lead to	preterm birth
progesterone	can help prevent	early or threatened labor
cervical cerclage	is a treatment for	early or threatened labor
bed rest	can be prescribed for	early or threatened labor
tocolytic medications	are used to delay	early or threatened labor
corticosteroids	are given to promote lung maturation in	early or threatened labor
uterine contractions	are a symptom of	early or threatened labor
cervical dilation	is a sign of	early or threatened labor
infection	can trigger	early or threatened labor
cervical incompetence	is a risk factor for	early or threatened labor
smoking	increases the risk of	early or threatened labor
