other antiparkinson drugs	are classified as	ATC code N04B
ATC code N04B	includes	levodopa
ATC code N04B	includes	pramipexole
ATC code N04B	includes	ropinirole
ATC code N04B	includes	selegiline
ATC code N04B	includes	rasagiline
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
ATC code N04B	includes	entacapone
ATC code N04B	includes	tolcapone
ATC code N04B	includes	amantadine
ATC code N04B	includes	benztropine
ATC code N04B	includes	biperiden
ATC code N04B	includes	orphenadrine
ATC code N04B	includes	trihexyphenidyl
ATC code N04B	includes	procyclidine
ATC code N04B	includes	ethopropazine
