other therapeutic endocrine procedures	are	medical procedures
other therapeutic endocrine procedures	used for	treatment
pituitary surgery	is a type of	other therapeutic endocrine procedures
pituitary surgery	can be used for	tumor removal
radioactive iodine therapy	is a type of	other therapeutic endocrine procedures
radioactive iodine therapy	used for	thyroid ablation
adrenalectomy	is a type of	other therapeutic endocrine procedures
adrenalectomy	used for	adrenal tumor removal
thyroidectomy	is a type of	other therapeutic endocrine procedures
thyroidectomy	used for	thyroid gland removal
pancreatectomy	is a type of	other therapeutic endocrine procedures
pancreatectomy	used for	pancreatic tumor removal
parathyroidectomy	is a type of	other therapeutic endocrine procedures
parathyroidectomy	used for	parathyroid gland removal
adrenocorticotropic hormone (ACTH) stimulation test	is a type of	other therapeutic endocrine procedures
ACTH stimulation test	used for	adrenal function evaluation
growth hormone stimulation test	is a type of	other therapeutic endocrine procedures
growth hormone stimulation test	used for	growth hormone deficiency evaluation
thyroid-stimulating hormone (TSH) stimulation test	is a type of	other therapeutic endocrine procedures
TSH stimulation test	used for	thyroid function evaluation
insulin tolerance test	is a type of	other therapeutic endocrine procedures
insulin tolerance test	used for	growth hormone deficiency evaluation
thyrotropin-releasing hormone (TRH) stimulation test	is a type of	other therapeutic endocrine procedures
TRH stimulation test	used for	thyroid function evaluation
corticotropin-releasing hormone (CRH) stimulation test	is a type of	other therapeutic endocrine procedures
CRH stimulation test	used for	adrenal function evaluation
glucagon stimulation test	is a type of	other therapeutic endocrine procedures
glucagon stimulation test	used for	insulinoma diagnosis
arginine stimulation test	is a type of	other therapeutic endocrine procedures
arginine stimulation test	used for	growth hormone deficiency evaluation
gliclazide stimulation test	is a type of	other therapeutic endocrine procedures
gliclazide stimulation test	used for	insulinoma diagnosis
glucose tolerance test	is a type of	other therapeutic endocrine procedures
glucose tolerance test	used for	diabetes diagnosis
luteinizing hormone-releasing hormone (LHRH) stimulation test	is a type of	other therapeutic endocrine procedures
LHRH stimulation test	used for	hormonal disorder evaluation
thyrotropin-releasing hormone (TRH) stimulation test	is a type of	other therapeutic endocrine procedures
TRH stimulation test	used for	thyroid function evaluation
cosyntropin stimulation test	is a type of	other therapeutic endocrine procedures
cosyntropin stimulation test	used for	adrenal insufficiency diagnosis
dexamethasone suppression test	is a type of	other therapeutic endocrine procedures
dexamethasone suppression test	used for	Cushing's syndrome diagnosis
thyroglobulin	is a type of	other therapeutic endocrine procedures
thyroglobulin	used for	thyroid cancer marker
insulin	is a type of	other therapeutic endocrine procedures
insulin	used for	diabetes treatment
growth hormone	is a type of	other therapeutic endocrine procedures
growth hormone	used for	growth hormone deficiency treatment
hydrocortisone	is a type of	other therapeutic endocrine procedures
hydrocortisone	used for	adrenal insufficiency treatment
levothyroxine	is a type of	other therapeutic endocrine procedures
levothyroxine	used for	hypothyroidism treatment
methimazole	is a type of	other therapeutic endocrine procedures
methimazole	used for	hyperthyroidism treatment
