operations	can be performed on	fallopian tubes
tubal ligation	is a type of	operation on fallopian tubes
tubal ligation	is used for	permanent birth control
tubal reversal	is a type of	operation on fallopian tubes
tubal reversal	can restore	fertility
tubal ectopic pregnancy	can require	operation on fallopian tubes
tubal ectopic pregnancy	can cause	abdominal pain
tubal blockage	can require	operation on fallopian tubes
tubal blockage	can prevent	conception
hydrosalpinx	can require	operation on fallopian tubes
hydrosalpinx	can result in	infertility
salpingectomy	is a type of	operation on fallopian tubes
salpingectomy	is used for	removing the fallopian tube
salpingostomy	is a type of	operation on fallopian tubes
salpingostomy	is used for	opening a blocked fallopian tube
fimbrioplasty	is a type of	operation on fallopian tubes
fimbrioplasty	can improve	fertility
salpingotomy	is a type of	operation on fallopian tubes
salpingotomy	is used for	opening a blocked fallopian tube
salpingolysis	is a type of	operation on fallopian tubes
salpingolysis	can remove	scar tissue
salpingocentesis	is a type of	operation on fallopian tubes
salpingocentesis	is used for	removing fluid from the fallopian tube
salpingorrhaphy	is used for	repairing a damaged fallopian tube
litotripsy	is a type of	operation on fallopian tubes
litotripsy	can break	kidney stones
salpingo-oophorectomy	is a type of	operation on fallopian tubes
neosalpingostomy	is a type of	operation on fallopian tubes
neosalpingostomy	is used for	creating a new opening in a blocked fallopian tube
salpingectomy	is a type of	operation on fallopian tubes
salpingectomy	is used for	removing the fallopian tube
tuboplasty	is a type of	operation on fallopian tubes
tuboplasty	can repair	blocked or damaged fallopian tubes
endarterectomy	is a type of	operation on fallopian tubes
endarterectomy	can remove	plaque from blood vessels
fallopian tube cancer	can require	operation on fallopian tubes
fertiloscopy	is a type of	operation on fallopian tubes
fallopian tube prolapse	can require	operation on fallopian tubes
fallopian tube prolapse	can cause	urinary incontinence
radiosurgery	is a type of	operation on fallopian tubes
radiosurgery	can treat	fallopian tube cancer
fallopian tube removal	is a type of	operation on fallopian tubes
fallopian tube removal	is used for	treating fallopian tube diseases
microsurgery	can repair	blocked or damaged fallopian tubes
band ligation	is used for	blocking or closing fallopian tubes
dilation and curettage	is a type of	operation on fallopian tubes
laser surgery	is a type of	operation on fallopian tubes
laser surgery	can treat	various conditions in fallopian tubes
falloposcopy	is a type of	operation on fallopian tubes
falloposcopy	can diagnose	fallopian tube blockage
salpingoscopy	is a type of	operation on fallopian tubes
salpingoscopy	can diagnose	fallopian tube disorders
minilaparotomy	is a type of	operation on fallopian tubes
minilaparotomy	can be used for	tubal ligation
diagnostic laparoscopy	is a type of	operation on fallopian tubes
diagnostic laparoscopy	can diagnose	fallopian tube disorders
therapeutic laparotomy	can treat	fallopian tube disorders
chromotubation	is a type of	operation on fallopian tubes
chromotubation	can test	the patency of the fallopian tube
hydrolaparoscopy	is a type of	operation on fallopian tubes
hydrolaparoscopy	can diagnose	fallopian tube disorders
shrinkage	is a side effect of	operation on fallopian tubes
shrinkage	can prevent	fallopian tube blockage
ether	can be used for	anesthesia during operation on fallopian tubes
ethanol	can be used for	anesthesia during operation on fallopian tubes
carbon dioxide	can be used for	insufflation during operation on fallopian tubes
gadolinium	can be used for	imaging during operation on fallopian tubes
fentanyl	can be used for	anesthesia during operation on fallopian tubes
