other procedures	can assist	delivery
cesarean section	is a type of	other procedures
cesarean section	used for	difficult childbirth
forceps delivery	is a type of	other procedures
forceps delivery	used for	assisting in vaginal delivery
vacuum extraction	is a type of	other procedures
vacuum extraction	used for	assisting in vaginal delivery
episiotomy	is a type of	other procedures
episiotomy	used for	enlarging the vaginal opening
version	is a type of	other procedures
version	used for	repositioning the fetus
other procedures to assist delivery	are used for	childbirth
vacuum extraction	is a type of	other procedures to assist delivery
vacuum extraction	can be used for	difficult deliveries
forceps delivery	is another type of	other procedures to assist delivery
forceps delivery	can be used for	fetal distress
cesarean section	is a type of	other procedures to assist delivery
cesarean section	is performed when	vaginal delivery is not possible
cesarean section	carries the risk of	infection
episiotomy	is a type of	other procedures to assist delivery
episiotomy	involves	cutting the perineum
episiotomy	can reduce	the risk of tearing
epidural anesthesia	is used during	other procedures to assist delivery
epidural anesthesia	provides	pain relief during childbirth
epidural anesthesia	may cause	low blood pressure
induction of labor	is a type of	other procedures to assist delivery
induction of labor	is performed	to start or speed up labor
induction of labor	may increase	the risk of cesarean section
amniotomy	is a type of	other procedures to assist delivery
amniotomy	involves	rupturing the amniotic sac
amniotomy	may increase	the risk of infection
external cephalic version	is a type of	other procedures to assist delivery
external cephalic version	is used to	turn a breech baby
external cephalic version	carries the risk of	umbilical cord compression
perineal massage	is performed during	other procedures to assist delivery
perineal massage	helps	stretch and relax the perineum
perineal massage	can reduce	the risk of tearing
epidural analgesia	is used during	other procedures to assist delivery
epidural analgesia	provides	pain relief during childbirth
epidural analgesia	may cause	prolonged labor
breech extraction	is a type of	other procedures to assist delivery
breech extraction	is performed when	the baby is in a breech position
breech extraction	carries the risk of	umbilical cord prolapse
shoulder dystocia management	is a type of	other procedures to assist delivery
shoulder dystocia management	is performed when	the baby's shoulder gets stuck
shoulder dystocia management	may require	episiotomy
vaginal birth after cesarean section (VBAC)	is a type of	other procedures to assist delivery
vaginal birth after cesarean section (VBAC)	is an option for	women who have had a previous cesarean section
vaginal birth after cesarean section (VBAC)	carries the risk of	uterine rupture
forceps-assisted vaginal delivery	is a type of	other procedures to assist delivery
forceps-assisted vaginal delivery	involves	using forceps to help deliver the baby
forceps-assisted vaginal delivery	may cause	maternal and neonatal trauma
vacuum-assisted vaginal delivery	is a type of	other procedures to assist delivery
vacuum-assisted vaginal delivery	involves	using a vacuum extractor to help deliver the baby
vacuum-assisted vaginal delivery	carries the risk of	scalp lacerations
cervical ripening	is a type of	other procedures to assist delivery
cervical ripening	is performed	to soften and thin the cervix
cervical ripening	may increase	the risk of infection
apgar scoring	is performed after	other procedures to assist delivery
